"","encuestadora_comisionado","trabajo_campo","muestra","participacion","Cs","JxCat","ERC–CatSí","PSC","CatComú–Podem","CUP","PP","Vox","PP+Cs","Junts","PDeCAT","v1x2","last_day","fuente","titular","urlDW"
"11","ElectoPanel/Electomanía","17 Jul 2019",NA,NA,14.1,15.3,26.7,20.1,7.1,6.1,6.2,2.1,NA,NA,NA,"6.6",2019-07-17,"https://electomania.es/electopanel-cataluna-17j-erc-domina-caida-de-ciudadanos/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"12","GESOP/El Periódico","10 Feb 2019",1468,NA,21.5,15,25.5,15.5,7.5,6.5,4,2.5,NA,NA,NA,"4.0",2019-02-10,"https://www.elperiodico.com/es/politica/20190210/encuesta-elecciones-cataluna-catalunya-7294466","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"13","NC Report/La Razón","24 Dec 2018",NA,74.5,25,14.9,24.1,15,7.7,5,4.4,2,NA,NA,NA,"0.9",2018-12-24,"https://www.larazon.es/espana/el-soberanismo-retrocede-por-la-debacle-del-pdecat-y-pierde-la-mayoria-absoluta-GK21092848","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"14","NC Report/La Razón","28 Sep–2 Oct 2020",1000,72.7,11.9,20,23.2,17.8,7.8,4.5,7.6,5,NA,NA,NA,"3.2",NA,"https://www.larazon.es/espana/20201005/iucelpenybesnan52nrq3deuvq.html","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"15","GAD3/La Vanguardia","1–4 Sep 2020",805,69,10.2,19.9,27.2,19.1,6.7,3.9,6.4,4.2,NA,NA,NA,"7.3",NA,"https://www.lavanguardia.com/politica/20200906/483326913539/encuesta-lavanguardia-elecciones-cataluna-erc-ventaja-jxcat-independentismo-mayoria-quim-torra.html","GAD3/La Vanguardia","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GAD3/La Vanguardia </a>"
"16","GESOP/CEO","25 Jun–21 Jul 2020",2000,70,14.4,20.9,22.1,17,8.2,4.9,5.5,4,NA,NA,NA,"1.2",NA,"http://upceo.ceo.gencat.cat/wsceop/7688/Dossier%20de%20premsa%20-974.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
"17","GESOP/El Periódico","6–13 Jul 2020",1479,NA,11.9,19.3,22.5,17.9,7.9,5.4,6.1,5.4,NA,NA,NA,"3.2",NA,"https://www.elperiodico.com/es/politica/20200719/encuesta-elecciones-catalunya-resultados-8046455","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"18","Feedback/El Nacional","29 Jun–2 Jul 2020",800,NA,9.5,17.8,27.4,19.7,6.6,6.2,5.7,5.1,NA,NA,NA,"7.7",NA,"https://www.elnacional.cat/ca/politica/enquesta-el-nacional-erc-guanyaria-eleccions_519882_102.html","Feedback/El Nacional","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Feedback/El Nacional </a>"
"19","ElectoPanel/Electomanía","1 Apr–15 May 2020",NA,NA,9.6,21.2,21.1,19.5,8.7,6.5,8.7,3.5,NA,NA,NA,"0.1",NA,"https://electomania.es/ep-17my-cataluna/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"20","GESOP/El Periódico","29 Apr–8 May 2020",1455,NA,12.9,16.8,25.2,18,7.7,6.1,6.3,3.8,NA,NA,NA,"7.2",NA,"https://www.elperiodico.com/es/politica/20200518/erc-ganaria-elecciones-holgura-elegir-jxcat-o-izquierda-7966397","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"21","GESOP/CEO","25 Nov–7 Dec 2020",1500,68,11.6,NA,23,18.5,6.9,6.4,6,4.6,NA,"19.6","1.9","3.4",NA,"https://govern.cat/govern/docs/2020/12/18/09/49/bad0d16d-b034-42c3-a126-25b0e75844b2.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
"22","GESOP/CEO","10 Feb–9 Mar 2020",2000,70,12.8,18.6,23,17.4,10.9,7.1,5.5,3,NA,NA,NA,"4.4",NA,"http://upceo.ceo.gencat.cat/wsceop/7548/Dossier%20de%20premsa%20-962.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
"23","GAD3/ABC","21–26 Feb 2020",800,NA,8.9,15.4,28.1,20.8,8.1,4.9,7.2,4.4,NA,NA,NA,"7.3",NA,"https://www.abc.es/espana/abci-ganaria-claridad-comicios-y-podria-sumar-o-izquierda-202003012038_noticia.html","GAD3/ABC","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GAD3/ABC </a>"
"24","GAD3/La Vanguardia","3–6 Feb 2020",800,70.7,NA,20,25.2,21.1,8.9,5.2,NA,3.7,14.5,NA,NA,"4.1",NA,"https://www.lavanguardia.com/politica/20200216/473365167888/avance-sondeo-gad3-lavanguardia-erc-ganaria.html","GAD3/La Vanguardia","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GAD3/La Vanguardia </a>"
"25","GAD3/La Vanguardia","3–6 Feb 2020",800,70.7,8.5,19.8,24.9,20.3,8.8,5.1,6.7,4.4,NA,NA,NA,"4.6",NA,"https://www.lavanguardia.com/politica/20200216/473365167888/avance-sondeo-gad3-lavanguardia-erc-ganaria.html","GAD3/La Vanguardia","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GAD3/La Vanguardia </a>"
"26","NC Report/La Razón","27–31 Jan 2020",1000,73.8,10.3,19.5,21,17.4,8.3,5.9,8.9,6.3,NA,NA,NA,"1.5",NA,"https://www.larazon.es/espana/20200203/y3w3te4fhnhupn4ypcoxwan2ma.html","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"27","GESOP/El Periódico","30 Nov–1 Dec 2020",801,NA,10.6,NA,22,18.9,7.5,5,5.9,4.5,NA,"19.4","2.4","2.6",NA,"https://www.elperiodico.com/es/politica/20201206/encuesta-elecciones-cataluna-2021-10121962","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"28","GESOP/El Periódico","27–31 Jan 2020",1435,NA,12.8,19,22,16.9,9.4,6.6,4.8,5.5,NA,NA,NA,"3.0",NA,"https://www.elperiodico.com/es/politica/20200201/erc-podria-elegir-entre-jxcat-y-la-izquierda-para-gobernar-sondeo-gesop-elecciones-catalanas-7831755","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"29","ElectoPanel/Electomanía","27–29 Jan 2020",1500,NA,NA,20,20.7,20.1,8.8,7.8,NA,5,16.7,NA,NA,"0.6",NA,"https://electomania.es/catp29e2020/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"30","ElectoPanel/Electomanía","27–29 Jan 2020",1500,NA,7.4,20,20.7,19.4,8.8,7.8,8.4,6.2,NA,NA,NA,"0.7",NA,"https://electomania.es/catp29e2020/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"31","CatComú","Dec 2019",1002,NA,12.1,15.6,25.3,20.9,10.8,5.3,4.3,5,NA,NA,NA,"4.4",NA,"https://www.elperiodico.com/es/politica/20200129/sondeo-comuns-les-situa-por-detras-ciutadans-7827272","CatComú","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> CatComú </a>"
"32","GESOP/CEO","14 Nov–5 Dec 2019",1500,70,12,19,25.4,18,10.2,7.3,4.3,2,NA,NA,NA,"6.4",NA,"http://upceo.ceo.gencat.cat/wsceop/7408/Dossier%20de%20premsa%20-954.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
"33","ElectoPanel/Electomanía","27–30 Nov 2019",2000,NA,7.2,15.8,22,18.4,8.1,10,7.9,7.5,NA,NA,NA,"3.6",NA,"https://electomania.es/catp30n2/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"34","NC Report/La Razón","18–22 Nov 2019",1000,74.4,11.6,19.2,21.2,16.8,7.7,5.6,8.8,6.4,NA,NA,NA,"2.0",NA,"https://www.larazon.es/cataluna/20191125/gteiw4zxd5ddtnud6lwmm4v4ii.html","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"35","ElectoPanel/Electomanía","16–19 Oct 2019",2000,NA,15.1,12.3,24.5,17.6,8.2,10.5,6,3.3,NA,NA,NA,"6.9",NA,"https://electomania.es/catp20o/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"36","ElectoPanel/Electomanía","14–15 Oct 2019",1000,NA,13.1,15.1,24.3,20.2,8,7.9,5,4,NA,NA,NA,"4.1",NA,"https://electomania.es/catp15o/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"37","NC Report/La Razón","1–5 Oct 2019",1000,71.1,19,15.1,24,19.9,5.9,5.4,5.5,1.9,NA,NA,NA,"4.1",NA,"https://www.larazon.es/local/cataluna/encuesta-erc-vence-y-el-psc-de-iceta-sorpassa-a-ciudadanos-PF25204856","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"38","NC Report/La Razón","3–7 Sep 2019",1000,71.3,21.1,14,25.6,19.1,6.2,4.9,4.8,2.2,NA,NA,NA,"4.5",NA,"https://www.larazon.es/espana/encuesta-nc-report-cataluna-erc-y-psc-sumarian-mayoria-absoluta-MI24862259","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"39","GESOP/CEO","25 Jun–17 Jul 2019",1500,70,17,16.6,26.5,18.7,9.5,5.2,3.5,NA,NA,NA,NA,"7.8",NA,"http://upceo.ceo.gencat.cat/wsceop/7188/Dossier%20de%20premsa%20-942.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
"40","GESOP/El Periódico","1–5 Jul 2019",1422,NA,16.5,16.5,26.5,20,7,5.5,4,NA,NA,NA,NA,"6.5",NA,"https://www.elperiodico.com/es/politica/20190714/encuesta-elecciones-cataluna-catalunya-7551627","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"41","Opinòmetre/CEO","4–25 Mar 2019",1500,70,21.6,14.9,28.1,16.5,7,6.5,4,NA,NA,NA,NA,"3.7",NA,"http://upceo.ceo.gencat.cat/wsceop/7008/Dossier%20de%20premsa%20-919.pdf","Opinòmetre/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Opinòmetre/CEO </a>"
"42","GESOP/CEO","13 Oct–7 Nov 2020",2000,65,10,NA,24.4,16.8,7.2,5.3,7,6.4,NA,"18.7","2.4","5.7",NA,"http://upceo.ceo.gencat.cat/wsceop/7808/Dossier%20de%20premsa%20-985.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
"43","Opinòmetre/Ara","3–12 Dec 2018",800,NA,23.4,16.2,25.7,13.9,7.1,8.3,2.5,1.1,NA,NA,NA,"2.3",NA,"https://www.ara.cat/politica/enquesta-ara-erc-guanyaria-eleccions_0_2144785547.html","Opinòmetre/Ara","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Opinòmetre/Ara </a>"
"44","Opinòmetre/CEO","22 Oct–12 Nov 2018",1500,68,21.4,14.8,25.1,14.5,10.4,8.5,3.3,NA,NA,NA,NA,"3.7",NA,"http://upceo.ceo.gencat.cat/wsceop/6868/Dossier%20de%20premsa%20-908.pdf","Opinòmetre/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Opinòmetre/CEO </a>"
"45","GESOP/El Periódico","22–25 Oct 2018",739,NA,22.5,14.5,25.3,17.3,7.5,7.4,3.5,NA,NA,NA,NA,"2.8",NA,"https://www.elperiodico.com/es/politica/20181030/encuesta-elecciones-cataluna-7118780","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"46","NC Report/La Razón","24–28 Sep 2018",1000,NA,23.7,16.2,23.9,15.8,6.5,3.9,5.3,NA,NA,NA,NA,"0.2",NA,"https://www.larazon.es/espana/cataluna-el-independentismo-perderia-la-mayoria-absoluta-en-las-urnas-MI19999555","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"47","ElectoPanel/Electomanía","16–18 Sep 2018",NA,NA,21.9,14.9,27.7,16.1,7,7,3.2,NA,NA,NA,NA,"5.8",NA,"http://electomania.es/electopanel-catalua-erc-se-destaca-y-los-independentistas-afianzan-su-mayora/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"48","SocioMétrica/El Español","22–30 Aug 2018",500,NA,22.3,18.4,25.1,14.9,7.3,5.5,5.1,NA,NA,NA,NA,"2.8",NA,"https://www.elespanol.com/espana/politica/20180910/erc-elecciones-catalanas-separatismo-conservaria-mayoria-absoluta/336716809_0.html","SocioMétrica/El Español","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SocioMétrica/El Español </a>"
"49","Opinòmetre/CEO","23 Jun–14 Jul 2018",1500,70,21.4,17.9,24,15.5,7.8,7,3.8,NA,NA,NA,NA,"2.6",NA,"http://upceo.ceo.gencat.cat/wsceop/6748/Dossier%20de%20premsa%20-901.pdf","Opinòmetre/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Opinòmetre/CEO </a>"
"50","GESOP","19–23 Oct 2020",1463,NA,12.5,18.3,22.9,17.5,7.3,5.8,6.2,5.1,NA,NA,NA,"4.6",NA,"https://gesop.net/es/2020/10/29/encuesta-sobre-las-elecciones-catalanas-de-2021-estimaciones/","GESOP","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP </a>"
"51","GESOP/El Periódico","2–11 Jul 2018",1445,NA,21.5,16.5,23.5,15.5,8.5,6.5,4.5,NA,NA,NA,NA,"2.0",NA,"https://www.elperiodico.com/es/politica/20180715/encuesta-gesop-erc-superaria-ciutadans-jxcat-6944499","GESOP/El Periódico","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/El Periódico </a>"
"52","GAD3/La Vanguardia","14–21 Jun 2018",800,75,24,20.1,24.3,14.6,7,4.5,4.1,NA,NA,NA,NA,"0.3",NA,"http://hemeroteca.lavanguardia.com/preview/2018/06/24/pagina-18/185816487/pdf.html","GAD3/La Vanguardia","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GAD3/La Vanguardia </a>"
"53","ElectoPanel/Electomanía","3–7 Jun 2018",NA,NA,21.3,20.4,20.7,16.3,7.6,7.6,4.9,NA,NA,NA,NA,"0.8",NA,"http://electomania.es/electopanel-cataluna-triple-empate-en-cabeza-con-mayoria-independentista/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"54","Opinòmetre/CEO","7–27 Apr 2018",1500,68,24.5,19.8,20.5,11,9.5,9,4.1,NA,NA,NA,NA,"4.0",NA,"http://upceo.ceo.gencat.cat/wsceop/6668/Dossier%20de%20premsa%20-885.pdf","Opinòmetre/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Opinòmetre/CEO </a>"
"55","NC Report/La Razón","17–20 Apr 2018",1000,76.9,26,18.7,21.8,15.2,5.4,3.8,4.5,NA,NA,NA,NA,"4.2",NA,"https://www.larazon.es/espana/los-independentistas-perderian-la-mayoria-NO18167903","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"56","NC Report/La Razón","22–28 Mar 2018",1000,76.8,25.7,19.4,21,14.9,6,4.2,4.8,NA,NA,NA,NA,"4.7",NA,"https://www.larazon.es/espana/cataluna-los-independentistas-pierden-tres-escanos-y-no-logran-la-mayoria-absoluta-EI18017636","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"57","Apolda/CEO","10–30 Jan 2018",1200,68,24.7,19.5,22.9,12.5,7.4,6,4.6,NA,NA,NA,NA,"1.8",NA,"http://upceo.ceo.gencat.cat/wsceop/6508/Dossier%20de%20premsa%20-874.pdf","Apolda/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> Apolda/CEO </a>"
"58","NC Report/La Razón","15–19 Jan 2018",1000,75.2,24.9,22.4,20.6,14.3,6.9,3.5,5.9,NA,NA,NA,NA,"2.5",NA,"http://www.larazon.es/espana/los-constitucionalistas-ganarian-dos-escanos-un-mes-despues-del-21-d-AK17486530","NC Report/La Razón","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> NC Report/La Razón </a>"
"59","GESOP/CEO","29 Sep–9 Oct 2020",1500,65,12,19.4,23.4,18,7.6,4.9,6,4.5,NA,NA,NA,"4.0",NA,"http://upceo.ceo.gencat.cat/wsceop/7768/Dossier%20de%20premsa%20-979.pdf","GESOP/CEO","<a href= https://en.wikipedia.org/wiki/Next_Catalan_regional_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> GESOP/CEO </a>"
