"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PSOE","PP","Vox","Unidas Podemos","Cs","ERC-Sobiranistes","Mas Pais","JxCat","PNV","EH Bildu","CUP","CC-NCa","BNG","NA+","PRC","v1x2","last_day","fuente","titular","urlDW"
"11","Hamalgama Metrica/OKDiario","2-5 Dec 2020",1000,NA,26.2,23.8,15.9,13,5.3,3.7,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,"2.4",2020-12-05,"https://okdiario.com/espana/pp-estanca-101-escanos-psoe-conserva-108-pese-sus-escandalos-podemos-sigue-cayendo-6542393","PSOE y Podemos pierden 15 escanos, el PP sube 10 y Vox logra 6 diputados mas","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Hamalgama Metrica/OKDiario </a>"
"12","ElectoPanel/Electomania","2-5 Dec 2020",1670,NA,27.2,21.6,17.2,11.9,6.4,3.3,1.5,2.6,1.6,1.3,0.8,0.5,0.7,"0.4","0.2","5.6",2020-12-05,"https://electomania.es/ep6d20/","ElectoPanel (6D): el PP sigue subiendo, Cs sigue bajando y UP ya casi le duplica","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"13","SW Demoscopia/infoLibre","26 Nov-5 Dec 2020",1237,NA,28.4,20.7,17.2,11.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7",2020-12-05,"https://www.infolibre.es/noticias/politica/2020/12/09/el_psoe_mantiene_ventaja_mas_escanos_sobre_la_derecha_sube_aunque_sin_alcanzar_mayoria_114202_1012.html","El PSOE mantiene su ventaja de mas de 30 escanos sobre el PP y la derecha suma ocho diputados gracias al avance de Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SW Demoscopia/infoLibre </a>"
"14","ElectoPanel/Electomania","22-27 Nov 2020",1310,NA,27.2,21.4,17.4,11.8,6.6,3.3,1.5,2.5,1.6,1.3,0.8,0.5,0.7,"0.4","0.3","5.8",2020-11-27,"https://electomania.es/ep29n20/","ElectoPanel (29N): UP vuelve a los 30 escanos. Vox se recupera y el PP sigue su ascenso. Coalicion Canaria, fuera del Congreso","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"15","KeyData/Publico","24 Nov 2020",NA,66.9,27.3,22.4,15.9,10.8,6.9,3.6,2.4,2.2,1.7,1.1,0.9,0.4,NA,NA,NA,"4.9",2020-11-24,"https://www.publico.es/politica/encuestas-electorales-gobierno-coalicion-sufre-desgaste-mantiene-ano-despues-elecciones-sondeos.html","El Gobierno de coalicion sufre desgaste pero se mantiene un ano despues de las elecciones, segun los sondeos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"16","DYM/Henneo","18-20 Nov 2020",1001,NA,23.6,23.5,17.2,9.8,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1",2020-11-20,"https://www.20minutos.es/noticia/4488629/0/gobierno-acusa-gestion-coronavirus-pp-psoe/","PSOE y Unidas Podemos acentuan su desgaste y suben PP, Vox y Ciudadanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"17","ElectoPanel/Electomania","16-20 Nov 2020",2398,NA,27.2,21.1,17,11.7,6.4,3.4,2.5,2.7,1.5,1.3,0.7,0.5,0.7,"0.4","0.2","6.1",2020-11-20,"https://electomania.es/ep22n20/","ElectoPanel (22N): subida del bloque de izquierdas","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"18","ElectoPanel/Electomania","10-13 Nov 2020",1290,NA,26.7,20.8,17.4,11.5,6.9,3.3,2.5,2.7,1.5,1.3,0.7,0.5,0.7,"0.4","0.2","5.9",2020-11-13,"https://electomania.es/ep15n20/","ElectoPanel (15N): goteo de apoyos a la derecha. Mas Pais logra el segundo escano","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"19","CIS","3-12 Nov 2020",3853,NA,30.4,18.6,13.2,11.4,9.5,3.2,1.8,1.7,1.5,0.7,0.7,0.4,0.6,"0.4",NA,"11.8",2020-11-12,"http://datos.cis.es/pdf/Es3300marMT_A.pdf","Barometro de noviembre 2020 (Estudio nº 3300. Noviembre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"20","CIS (SocioMetrica)","3-12 Nov 2020",3853,62.5,28.8,18,16.8,11.6,8.5,2.9,2.1,1.7,1.2,1,0.8,0.3,0.5,"0.5","0.3","10.8",2020-11-12,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"21","Simple Logica","4-11 Nov 2020",1036,63.4,29.2,20.5,15.7,11.5,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7",2020-11-11,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-noviembre-2020/","Intencion de voto y valoracion de lideres politicos (noviembre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"22","Celeste-Tel/Onda Cero","4-9 Nov 2020",1100,64.2,27.7,22.5,15.3,11.8,6.7,3.8,2.5,2.1,1.5,1.2,1,0.5,0.9,"0.4","0.2","5.2",2020-11-09,"https://www.celeste-tel.es/wp-content/uploads/2020/12/Bar%C3%B3metro-Electoral-Mensual-Noviembre2020.pdf","Estudio electoral de expectiva de voto al Congreso de los Diputados. Ambito nacional. Noviembre de 2020","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Celeste-Tel/Onda Cero </a>"
"23","ElectoPanel/Electomania","6-7 Nov 2020",1263,NA,26.8,20.6,17.5,11.5,7.1,3.3,2.4,2.7,1.5,1.3,0.7,0.5,0.7,"0.4","0.2","6.2",2020-11-07,"https://electomania.es/ep8n20/","ElectoPanel (8N): subida de Pablo Casado, que recupera terreno","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"24","NC Report/La Razon","30 Oct-7 Nov 2020",1000,63.1,26.8,23.2,15.9,11.5,7.2,3.5,2.1,2.5,1.5,1.3,0.8,0.4,0.8,"0.4","0.2","3.6",2020-11-07,"https://www.larazon.es/espana/20201109/l3pp65zztvcfrlczkhwdufzfaq.html","La coalicion Sanchez-Iglesias se deja un millon de votos en un ano","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"25","ElectoPanel/Electomania","30-31 Oct 2020",1730,NA,26.9,20,17.6,11.6,7.4,3.3,2.3,2.7,1.4,1.3,0.7,0.5,0.7,"0.4","0.2","6.9",2020-10-31,"https://electomania.es/ep1n20/","ElectoPanel (1N): Vox sigue reduciendo la distancia que le separa del PP y se acerca al 18%","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"26","Invymark/laSexta","26-30 Oct 2020",NA,NA,28.5,23.2,14.7,11,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.3",2020-10-30,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-las-elecciones-y-el-pp-sube-mas-de-dos-puntos-respecto-al-10-n_202011015f9eb95f9a1c4e000164b116.html","Barometro laSexta. El PSOE ganaria las elecciones y el PP sube mas de dos puntos respecto al 10-N","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"27","DYM/Henneo","22-23 Oct 2020",1006,NA,25,24.5,16.6,10.3,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",2020-10-23,"https://www.20minutos.es/noticia/4430577/0/pp-primera-fuerza-mocion-gobernar-vox-cs-encuesta-dym/","El PP sube tras la mocion y casi iguala en intencion de voto al PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"28","Sigma Dos/El Mundo","22-23 Oct 2020",1000,NA,29.3,24,14.9,11.8,6.8,3,1,2,1.9,NA,NA,NA,NA,NA,NA,"5.3",2020-10-23,"https://www.elmundo.es/espana/2020/10/24/5f9481f2fdddff74498b4625.html","La mocion de censura refuerza a Pedro Sanchez y los votantes del PP respaldan a Pablo Casado","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/El Mundo </a>"
"29","Hamalgama Metrica/OKDiario","21-23 Oct 2020",1000,NA,26.9,23.1,15.7,12.6,6.1,3.6,NA,NA,NA,NA,NA,NA,NA,"0.4",NA,"3.8",2020-10-23,"https://okdiario.com/espana/pp-pierde-11-escanos-respecto-mayo-queda-100-psoe-lidera-109-vox-sube-58-6324174","El PP pierde 11 escanos respecto a mayo y se queda con 100, el PSOE lidera con 109 y Vox sube a 58","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Hamalgama Metrica/OKDiario </a>"
"30","ElectoPanel/Electomania","19-22 Oct 2020",4772,NA,27,20.2,17.4,11.6,7.5,3.3,2.3,2.6,1.4,1.3,0.7,0.5,0.6,"0.4","0.2","6.8",2020-10-22,"https://electomania.es/ep22o20/","ElectoPanel express (22oct): la mocion no produce grandes vuelcos, aunque Vox arana algo de voto a PP y Cs","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"31","KeyData/Publico","20 Oct 2020",NA,66.6,27.4,22.4,15.5,11.5,6.9,3.5,1.9,2.3,1.6,1.1,0.9,0.5,NA,NA,NA,"5.0",2020-10-20,"https://www.publico.es/politica/gestion-pandemia-erosiona-levemente-coalicion.html","La gestion de la pandemia erosiona levemente a la coalicion de Gobierno, mientras la derecha crece, pero no suma","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> KeyData/Publico </a>"
"32","SocioMetrica/El Espanol","15-17 Oct 2020",2103,NA,26.6,22.8,16.3,10.5,7.1,3.2,2.5,3,1.8,1.3,NA,0.4,0.7,"0.4","0.3","3.8",2020-10-17,"https://www.elespanol.com/espana/politica/20201018/repunte-vox-pp-sanchez-sondeo-publica-espanol/529197669_0.html","El repunte de Vox frena al PP y amplia la ventaja del PSOE como primera fuerza","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> SocioMetrica/El Espanol </a>"
"33","NC Report/La Razon","13-17 Oct 2020",1000,62.6,27,23.6,15.6,11.4,6.3,3.4,NA,2.6,1.5,1.2,NA,NA,NA,NA,NA,"3.4",2020-10-17,"https://www.larazon.es/espana/20201018/xslzb4tpajh5vne6jm57jz37fy.html","Encuesta NC Report: El bloque de centro derecha sube ante la mocion de Vox","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> NC Report/La Razon </a>"
"34","ElectoPanel/Electomania","12-16 Oct 2020",1450,NA,27,20.4,17,11.6,7.7,3.3,2.3,2.7,1.5,1.3,0.7,0.5,0.7,"0.4","0.2","6.6",2020-10-16,"https://electomania.es/ep18o20/","ElectoPanel (18o): Vox en maximos con el 17%, Unidas Podemos supera los 30 escanos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"35","GIPEyOP","23 Sep-14 Oct 2020",1955,59.4,21,17.4,19.7,14.7,5.5,3.7,4.1,3.1,1.8,1.6,2.1,0.5,1.1,"0.1",NA,"1.3",2020-10-14,"https://www.uv.es/pavia/Informe_GIPEyOP_encuesta_COVID_octubre.pdf","Informe Preliminar GIPEyOP. Encuesta COVID-19 (Octubre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GIPEyOP </a>"
"36","Sigma Dos/Antena 3","10 Oct 2020",NA,NA,28.1,24.1,14,12.4,7.2,3.2,0.9,1.7,1.9,NA,NA,NA,NA,NA,NA,"4.0",2020-10-10,"https://www.antena3.com/noticias/espana/barometro-recorta-distancia-psoe-que-mantiene-primero-intencion-voto_202010105f81ad247c72380001caebf1.html","Barometro: el PP recorta distancia al PSOE, que se mantiene primero en intencion de voto","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Sigma Dos/Antena 3 </a>"
"37","Invymark/laSexta","5-9 Oct 2020",NA,NA,28.8,22.7,15.1,11.1,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.1",2020-10-09,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-ganaria-ahora-las-elecciones-con-un-288-de-los-votos_202010115f82f93b7c72380001cc5a2a.html","Barometro laSexta. El PSOE ganaria ahora las elecciones con un 28,8% de los votos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"38","ElectoPanel/Electomania","5-9 Oct 2020",1265,NA,27.1,20.7,16.7,11.5,7.9,3.3,2.2,2.7,1.4,1.2,0.7,0.5,0.6,"0.4","0.2","6.4",2020-10-09,"https://electomania.es/ep11oct20/","ElectoPanel (11oct): Vox se recupera de la bajada anterior en un escenario estable en cuanto a tendencias, inestable en cuanto a pactos","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"39","Simple Logica","1-9 Oct 2020",1060,63.6,27.2,19.5,17.1,11,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7",2020-10-09,"https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-octubre-2020/","Intencion de voto y valoracion de lideres politicos (octubre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Simple Logica </a>"
"40","CIS","1-7 Oct 2020",2924,NA,30.8,18.9,12.5,11.7,8.8,3.3,1.8,1.8,1.3,1.1,0.5,0.2,0.5,"0.4","0.2","11.9",2020-10-07,"http://datos.cis.es/pdf/Es3296marMT_A.pdf","Barometro de octubre 2020 (Estudio nº 3296. Octubre 2020)","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS </a>"
"41","CIS (SocioMetrica)","1-7 Oct 2020",2924,62.5,30.6,20,15.9,11.1,6.6,2.8,2.1,1.7,1.6,1.3,0.7,0.2,0.4,"0.5","0.1","10.6",2020-10-07,NA,NA,"<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> CIS (SocioMetrica) </a>"
"42","ElectoPanel/Electomania","1-3 Oct 2020",1265,NA,27.1,20.7,16.4,11.4,8.3,3.4,2.2,2.6,1.4,1.2,0.7,0.5,0.6,"0.4","0.2","6.4",2020-10-03,"https://electomania.es/ep4oct20/","ElectoPanel (4oct): el PP da un pequeno bocado a Vox, UP hace lo propio con el PSOE","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"43","GAD3/ABC","28 Sep-2 Oct 2020",960,NA,27.3,23.8,14.6,11.3,5.8,3.5,1.5,1.9,1.9,1.2,0.8,0.4,0.8,"0.4","0.3","3.5",2020-10-02,"https://www.abc.es/espana/abci-aumenta-13-diputados-desde-julio-y-pp-pierde-18-202010050208_noticia.html","Vox aumenta en 13 diputados desde julio y el PP pierde 18","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> GAD3/ABC </a>"
"44","Invymark/laSexta","21-25 Sep 2020",NA,NA,29.1,21.8,14.6,11.6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3",2020-09-25,"https://www.lasexta.com/noticias/nacional/barometro-lasexta-el-psoe-lidera-en-intencion-de-voto-con-mas-de-4-puntos-de-distancia-del-pp_202012205fdf4e76ae19b30001f68e10.html","Barometro laSexta. El PSOE lidera en intencion de voto a mas de 4 puntos de distancia del PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Invymark/laSexta </a>"
"45","ElectoPanel/Electomania","22-25 Sep 2020",1410,NA,27.4,20.2,16.9,10.9,8.4,3.4,2.3,2.7,1.4,1.2,0.7,0.5,0.6,"0.4","0.2","7.2",2020-09-25,"https://electomania.es/ep27s20/","ElectoPanel (27S): Vox rompe la barrera de los 60 escanos, roza el 17% y se situa a 3p del PP","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
"46","DYM/Henneo","16-20 Sep 2020",1008,NA,25.8,24,13.7,10.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8",2020-09-20,"https://www.diariodenavarra.es/noticias/actualidad/nacional/2020/09/23/la-segunda-ola-covid-apenas-desgasta-partido-sanchez-702661-1031.html","El PP se acerca al PSOE en intencion de voto","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> DYM/Henneo </a>"
"47","Demoscopia y Servicios/ESdiario","17-19 Sep 2020",1000,NA,25.7,23.5,15.3,13.2,6.5,3.1,1.6,2.7,1.5,1.4,0.9,0.4,0.6,"0.4","0.3","2.2",2020-09-19,"https://www.esdiario.com/510321687/Sondeo-ESdiario-Sanchez-frena-su-caida-a-costa-del-desgaste-de-las-comunidades.html","Sondeo ESdiario: Sanchez frena su caida a costa del desgaste de las comunidades","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> Demoscopia y Servicios/ESdiario </a>"
"48","ElectoPanel/Electomania","16-19 Sep 2020",1632,NA,27.3,20.1,16.6,11.1,8.7,3.4,2.2,2.6,1.5,1.2,0.7,0.5,0.7,"0.4","0.2","7.2",2020-09-19,"https://electomania.es/ep20s20/","ElectoPanel (20S): escenario estable, con el PSOE manteniendo el 27% y el PP a punto de perder el 20","<a href= https://en.wikipedia.org/wiki/Opinion_polling_for_the_next_Spanish_general_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                          text-decoration: underline""> ElectoPanel/Electomania </a>"
